Statistics for mnist_CNN_v2_all_epochs=1

std (mean(feature map)) across trials 	"[ 0.07069787  0.0690148   0.00205469  0.00648214  0.00319691  0.00303287
  0.00733256  0.00498174  0.09555854  0.00433347  0.00380213  0.02602746
  0.06302282  0.02316533  0.00096703  0.02176742  0.00913615  0.00122349
  0.1037966   0.00025343  0.04467884  0.0045279   0.01448387  0.00220821
  0.04093084  0.01039734  0.01521249  0.0193899   0.00932862  0.06210939
  0.03388708  0.0008924 ]"
std (max(feature map)) across trials 	"[ 0.10384781  0.10094639  0.05076263  0.00633627  0.05581737  0.0174984
  0.11419477  0.02945262  0.11218263  0.02910093  0.03849591  0.09542112
  0.08793891  0.05600386  0.02774607  0.07281519  0.09487231  0.02455365
  0.12655009  0.03575902  0.07254473  0.05163623  0.03800515  0.0364982
  0.06429097  0.02435529  0.0612449   0.07116304  0.03381196  0.0789927
  0.02847153  0.07234737]"
mean(max pool unit across trials) within feature map 0 	[0.0, 0.0, 0.0, 4.1332851e-06, 4.3483087e-06, 0.00016711681, 0.00050988822, 0.00069610064, 0.00066210603, 0.00044615995, 0.00021989424, 0.0001113915, 2.8835762e-05, 4.6987938e-05, 0.00011838582, 9.7480472e-05, 0.00016993099, 0.00022093768, 0.00023042486, 0.00018158194, 4.9945502e-05, 2.5277501e-05, 7.4505804e-13, -4.6566128e-14, 0.0, 0.0]

layer	1
mean(A) across layer 	0.217506
std(A) across layer 	0.395479
max(A) across layer 	2.33952
mean(A across trials) for each feature 	[0.036190823, 0.0034828959, 0.1550622, 0.17423312, 0.81434703, 0.0022942638, 0.23798792, 0.058918767, 0.085848875, 0.015625447, 0.048231456, 0.01194049, 0.73124194, 0.038827762, 0.081519514, 0.12641335, 0.080602489, 0.026631352, 0.51865172, 0.050761446, 0.010569545, 5.8738406e-05, 0.09741465, 0.58834982, 0.098042019, 0.53372395, 0.58543187, 0.086889029, 0.37162793, 0.3309907, 0.1679108, 0.79039627]
max(A across trials) for each feature 	[0.1124234, 0.030164212, 0.41439086, 0.52526945, 2.3395154, 0.010194095, 0.7629106, 0.31155726, 0.36794871, 0.02908637, 0.097747386, 0.033381682, 2.1615839, 0.10304449, 0.2554931, 0.46677807, 0.31300482, 0.099838853, 1.4885743, 0.13593371, 0.021983471, 0.00060550752, 0.24263245, 1.6815271, 0.27511945, 1.5694581, 1.7133948, 0.43590468, 1.4814944, 0.98391229, 0.79869819, 2.3197412]
