Statistics for mnist_CNN_v2_all_epochs=20

std (mean(feature map)) across trials 	"[  9.88715664e-02   1.55694326e-02   1.73093993e-02   4.82927077e-03
   2.24035122e-02   2.32254229e-02   1.51148182e-04   2.10826378e-02
   2.44311499e-03   1.31714894e-02   6.30149320e-02   7.01185167e-02
   4.07452229e-03   7.34771565e-02   2.42451597e-02   7.03243086e-06
   5.96209243e-03   7.45937526e-02   2.45959107e-02   3.00905630e-02
   4.01849449e-02   3.25363465e-02   1.49087505e-02   2.59963963e-02
   1.78072322e-02   3.51754092e-02   6.07819093e-05   1.00787645e-02
   2.66457424e-02   3.46207023e-02   1.84377685e-01   5.84344889e-05]"
std (max(feature map)) across trials 	"[  1.08673319e-01   7.54702017e-02   5.72179668e-02   7.07862303e-02
   1.28807575e-01   6.20455109e-02   3.30293700e-02   3.02114356e-02
   3.53968479e-02   8.89268368e-02   6.38917263e-05   2.71080196e-01
   7.55840242e-02   7.60595128e-02   6.26895297e-03   2.95403320e-03
   3.72268520e-02   8.09215978e-02   1.53265847e-02   5.63475750e-02
   5.72886923e-03   1.54610038e-01   6.06076084e-02   3.60160954e-02
   1.13718331e-01   4.22522007e-03   1.22920759e-02   1.09144054e-01
   1.02835104e-01   1.78363994e-01   2.36077115e-01   1.49532454e-02]"
mean(max pool unit across trials) within feature map 0 	[0.36919463, 0.36919463, 0.36919463, 0.36919308, 0.36920428, 0.36927968, 0.36961818, 0.37034872, 0.37133431, 0.37168053, 0.37114081, 0.37048736, 0.36994082, 0.36953628, 0.36942935, 0.36958215, 0.36979505, 0.36996114, 0.37020963, 0.37030095, 0.37020257, 0.36986211, 0.3694402, 0.36925992, 0.36919463, 0.36919463]

layer	1
mean(A) across layer 	0.316632
std(A) across layer 	0.373233
max(A) across layer 	2.84277
mean(A across trials) for each feature 	[0.60646212, 0.086833231, 0.31782371, 0.30881572, 0.31681657, 0.064724185, 0.11037503, 0.23626961, 0.58142281, 0.33845481, 0.37789831, 0.49052075, 0.054461017, 0.43998691, 0.33304444, 0.27413446, 0.17129725, 0.39543772, 0.3182652, 0.49739096, 0.23584983, 0.53137654, 0.25042647, 0.15524618, 0.20437664, 0.55976212, 0.43986171, 0.47564915, 0.21399291, 0.2071908, 0.29353046, 0.24453732]
max(A across trials) for each feature 	[1.8105199, 0.33216339, 1.8834465, 0.84639519, 1.1557366, 0.33826882, 0.41404292, 0.80706424, 2.2837298, 1.1406504, 1.835017, 2.3101385, 0.17379737, 1.6531826, 1.2187396, 1.2353356, 0.61582881, 1.3589802, 0.9628166, 1.5794628, 0.78962934, 2.8427691, 0.97686124, 0.85625607, 0.56541955, 2.1088138, 1.5494579, 1.6102136, 0.75200635, 1.2901237, 0.50558263, 0.73801148]
